1	Так	так	P	P	P-----r	7	вводн
2	же	же	Q	Q	Q	1	огранич
3	в	в	S	S	Sp-a	7	1-компл
4	течение	течение	N	N	Ncnsan	3	предл
5	последнего	последний	A	A	Afpmsgf	6	опред
6	года	год	N	N	Ncmsgn	4	квазиагент
7	появилась	появиться	V	V	Vmis-sfm-e	0	ROOT
8	одышка	одышка	N	N	Ncfsnn	7	предик
9	при	при	S	S	Sp-l	7	обст
10	физических	физический	A	A	Afpmplf	11	опред
11	нагрузках	нагрузка	N	N	Ncmpln	9	предл
12	выше	выше	S	S	Sp-g	11	1-компл
13	средних	средний	A	A	Afpmpgf	12	сравнит
