1	не	не	Q	Q	Q	2	огранич
2	курит	курить	V	V	Vmip3s-a-p	10	предик
3	в	в	S	S	Sp-a	2	обст
4	течение	течение	N	N	Ncnsan	3	предл
5	13	#число	M	M	Mc---d	6	количест
6	лет	год	N	N	Ncmpgn	2	длительн
7	,	,	,	,	,	6	PUNC
8	до	до	S	S	Sp-g	10	обст
9	этого	это	P	P	P--nsgn	8	предл
10	курил	курить	V	V	Vmis-sma-p	0	ROOT
11	по	по	S	S	Sp-l	10	обст
12	1	#число	M	M	Mc---d	13	количест
13	пачке	пачка	N	N	Ncfsln	11	предл
14	в	в	S	S	Sp-a	13	распред
15	день	#времясуток	N	N	Ncmsan	14	предл
