1	В	в	S	S	Sp-a	6	обст
2	течение	течение	N	N	Ncnsan	1	предл
3	последних	последний	A	A	Afpmpgf	4	опред
4	лет	год	N	N	Ncmpgn	2	квазиагент
5	беспокоит	беспокоить	V	V	Vmip3s-a-p	2	опред
6	одышка	одышка	N	N	Ncfsnn	0	ROOT
7	,	,	,	,	,	6	PUNC
8	утомляемость	утомляемость	N	N	Ncfsnn	6	сочин
9	,	,	,	,	,	8	PUNC
10	общая	общий	A	A	Afpfsnf	11	опред
11	слабость	слабость	N	N	Ncfsnn	8	сочин
