1	Последние	последний	A	A	Afpmpaf	2	опред
2	2	#число	M	M	Mc---d	3	опред
3	года	год	N	N	Ncmsgn	4	длительн
4	беспокоят	беспокоить	V	V	Vmip3p-a-p	0	ROOT
5	судороги	судорога	N	N	Ncfpan	4	1-компл
6	,	,	,	,	,	5	PUNC
7	тянет	тянуть	V	V	Vmip3s-a-p	5	опред
8	пальцы	палец	N	N	Ncmpan	7	1-компл
9	рук	рука	N	N	Ncfpgn	8	квазиагент
10	и	и	C	C	C	9	сочин
11	ног	нога	N	N	Ncfpgn	10	соч-союзн
12	,	,	,	,	,	11	PUNC
13	сводит	сводить	V	V	Vmip3s-a-p	4	сочин
14	ноги	нога	N	N	Ncfpan	13	1-компл
