1	Последние	последний	A	A	Afpmpaf	2	опред
2	6	#число	M	M	Mc---d	3	количест
3	месяцев	месяц	N	N	Ncmpgn	4	длительн
4	участились	участиться	V	V	Vmis-p-m-e	0	ROOT
5	до	до	S	S	Sp-l	4	предик
6	1	#число	M	M	Mc---d	7	количест
7	раза	раз	N	N	Ncmsgn	5	предл
8	в	в	S	S	Sp-a	7	распред
9	месяц	месяц	N	N	Ncmsan	8	предл
